"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 11 21:36:25 PDT 2023","Sun Jun 11 21:36:25 PDT 2023","14","Suite","Test","com.dsalgo.qa.testcase.HomePageTest","com.dsalgo.qa.testcase.HomePageTest","setup","setup",""
"skipped","Sun Jun 11 21:36:54 PDT 2023","Sun Jun 11 21:36:54 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.GraphPageTest","com.dsalgo.qa.testcase.GraphPageTest","GraphPageValidationTest","GraphPageValidationTest",""
"skipped","Sun Jun 11 21:36:53 PDT 2023","Sun Jun 11 21:36:53 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.TreePageTest","com.dsalgo.qa.testcase.TreePageTest","TreePageValidationTest","TreePageValidationTest",""
"skipped","Sun Jun 11 21:36:52 PDT 2023","Sun Jun 11 21:36:52 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.RegisterPageTest","com.dsalgo.qa.testcase.RegisterPageTest","VerifyUserLandedRegisterPageTest","VerifyUserLandedRegisterPageTest",""
"skipped","Sun Jun 11 21:36:50 PDT 2023","Sun Jun 11 21:36:50 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.RegisterPageTest","com.dsalgo.qa.testcase.RegisterPageTest","ClickRegisterBtnWithDifferentPasswordsTest","ClickRegisterBtnWithDifferentPasswordsTest",""
"skipped","Sun Jun 11 21:36:52 PDT 2023","Sun Jun 11 21:36:52 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.GetStartedTest","com.dsalgo.qa.testcase.GetStartedTest","getStartedButtonClickTest","Clicking on Get Started button","Clicking on Get Started button"
"skipped","Sun Jun 11 21:36:51 PDT 2023","Sun Jun 11 21:36:51 PDT 2023","5","Suite","Test","com.dsalgo.qa.testcase.RegisterPageTest","com.dsalgo.qa.testcase.RegisterPageTest","RegisterErrorEmptyfieldBelowPasswordTxtbox","RegisterErrorEmptyfieldBelowPasswordTxtbox",""
"skipped","Sun Jun 11 21:36:26 PDT 2023","Sun Jun 11 21:36:26 PDT 2023","8","Suite","Test","com.dsalgo.qa.testcase.HomePageTest","com.dsalgo.qa.testcase.HomePageTest","UserClicksGetStartedBtnWithoutLoginGetErrorMsg","Verify user got Error message on clicking GetStarted button under any Data Structure without Login","Verify user got Error message on clicking GetStarted button under any Data Structure without Login"
"broken","Sun Jun 11 21:36:55 PDT 2023","Sun Jun 11 21:36:55 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.QueuePageTest","com.dsalgo.qa.testcase.QueuePageTest","setup","setup",""
"skipped","Sun Jun 11 21:36:48 PDT 2023","Sun Jun 11 21:36:48 PDT 2023","0","Suite","Test","com.dsalgo.qa.testcase.SignInPageTest","com.dsalgo.qa.testcase.SignInPageTest","LoginUserWithInvalidCredentialsValidationTest","Verifying User fails to login on entering invalid username,password and clicking on Login button","Verifying User fails to login on entering invalid username,password and clicking on Login button"
"broken","Sun Jun 11 21:36:55 PDT 2023","Sun Jun 11 21:36:55 PDT 2023","1","Suite","Test","com.dsalgo.qa.testcase.StackPageTest","com.dsalgo.qa.testcase.StackPageTest","setup","setup",""
"skipped","Sun Jun 11 21:36:26 PDT 2023","Sun Jun 11 21:36:26 PDT 2023","130","Suite","Test","com.dsalgo.qa.testcase.HomePageTest","com.dsalgo.qa.testcase.HomePageTest","UserSelectValueFromDropdownClickGetStartedWithoutLoginGetErrorMsg","Verify user got Error message on clicking GetStarted button after selecting value from dropdown without Login ","Verify user got Error message on clicking GetStarted button after selecting value from dropdown without Login "
